UNITID,year,school_name,instruction_staff,instructors_per_thousand_student,admin_professional_staff,admin_professionalstaff_perthousandstudent,noninstruction_academicstaff,noninstruction_academicstaff_perthousandstudent,nonadmin_trade_servicestaff,nonadmin_tradeservicestaff_perthousandstudent,all_instructors_staff,ug_student_perthousandstudent,instructor_salarypermillion,adminprofessionalstaff_salarypermillion,noninstruction_academicstaff_salarypermillion,nonadmin_tradeservicestaff_salarypermillion,ug_average_sch_studentperay,grad_average_sch_studentperay,ug_degrees_perthousand_ugstudent,ug_certi_perthousand_ugstudent,graddegree_perhundredgradstudent,grad_certi_perhundred_gradstudent,bachelordegree_4yeargradrate,bachelordegree_6yeargradrate,associatedegree_certi3yeargradrate
102094,2014,University of South Alabama,758,44,"1,380",1,179,11,390,23,570,734,"122,871","108,276","17,241","26,208",24,18,0,15,319,0,15.38%,37.79%,NULL
102234,2014,Spring Hill College,79,49,125,77,8,5,46,29,179,879,"324,873","425,757","24,264","92,068",27,8,0,3,332,101,50.87%,58.14%,NULL
102261,2014,Southeastern Bible College,6,30,7,35,8,40,2,10,17,"1,000","236,429","310,371","232,633","48,461",22,NULL,50,0,NULL,NULL,15.38%,15.38%,NULL
102270,2014,Stillman College,54,48,63,56,9,8,27,24,99,"1,000","290,235","344,986","42,665","74,502",12,NULL,0,0,NULL,NULL,12.08%,20.36%,NULL
102298,2014,Talladega College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","343,595","563,135","3,035","73,234",14,NULL,0,0,NULL,NULL,33.76%,44.30%,NULL
102313,2014,H Councill Trenholm State Technical College,58,28,49,24,11,6,7,4,67,"1,000","359,013","310,951","40,956","30,286",17,NULL,189,212,NULL,NULL,NULL,NULL,23.15%
102368,2014,Troy University,551,22,822,32,67,3,93,4,982,780,"359,966","361,648","32,133","35,416",19,12,39,0,423,0,14.56%,35.74%,NULL
102377,2014,Tuskegee University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,827,"440,593","180,897","79,749","32,612",29,9,0,0,183,0,21.33%,47.23%,NULL
102429,2014,Bevill State Community College,114,23,130,26,11,3,30,6,171,"1,000","333,556","311,144","23,955","49,917",17,NULL,155,57,NULL,NULL,NULL,NULL,16.63%
102553,2014,University of Alaska Anchorage,732,27,653,24,208,8,118,5,979,944,"294,353","279,438","86,552","39,612",14,16,70,13,343,126,8.02%,29.14%,NULL
102614,2014,University of Alaska Fairbanks,540,37,659,45,745,51,170,12,"1,574",901,"178,708","248,749","242,032","49,750",13,14,50,19,302,60,14.94%,43.54%,NULL
102632,2014,University of Alaska Southeast,132,24,143,26,16,3,44,8,203,892,"260,616","360,919","36,576","70,894",9,14,55,43,493,348,3.67%,15.60%,NULL
102669,2014,Alaska Pacific University,41,46,62,69,1,2,3,4,66,590,"286,880","398,386","4,930","14,854",18,11,27,0,339,38,53.33%,60.00%,NULL
102845,2014,Charter College-Anchorage,52,14,142,38,18,5,41,11,201,"1,000","161,851","447,943","40,817","136,059",48,NULL,185,188,NULL,NULL,23.64%,25.45%,NULL
103501,2014,Alaska Career College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","278,125","527,854","43,628",0,30,NULL,165,371,NULL,NULL,NULL,NULL,72.21%
103644,2014,Everest College-Phoenix,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","152,809","168,780","7,554",0,16,NULL,27,0,NULL,NULL,13.79%,27.59%,NULL
103787,2014,American Indian College Inc,7,73,7,73,1,11,7,73,15,"1,000","344,962","386,009","24,725","139,019",21,NULL,104,0,NULL,NULL,0.00%,14.29%,NULL
103893,2014,Carrington College-Phoenix,12,11,12,11,16,15,1,1,29,"1,000","185,216","212,650","231,224","9,533",16,NULL,13,0,NULL,NULL,NULL,NULL,71.17%
103909,2014,Carrington College-Mesa,7,6,22,19,15,13,1,1,38,"1,000","72,110","292,694","171,160","6,982",18,NULL,201,0,NULL,NULL,NULL,NULL,69.93%
103927,2014,Carrington College-Tucson,5,7,13,18,11,15,0,0,24,"1,000","83,852","334,969","204,552",0,17,NULL,19,0,NULL,NULL,NULL,NULL,70.31%
103945,2014,CollegeAmerica-Flagstaff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","600,287","254,314","932,482",0,35,NULL,504,0,NULL,NULL,26.67%,26.67%,NULL
104090,2014,Brookline College-Phoenix,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,976,"69,432","96,891","26,905","46,655",14,15,66,213,510,0,21.57%,23.53%,NULL
104151,2014,Arizona State University-Tempe,1912,36,"4,305",1,369,7,444,9,817,792,"245,744","355,008","34,072","23,747",28,17,0,36,530,15,42.80%,63.43%,NULL
104179,2014,University of Arizona,1822,41,"5,366",1,"1,740",1,"1,190",1,7,777,"192,886","302,373","80,711","49,249",28,14,0,0,343,36,40.06%,60.26%,NULL
104188,2014,Southwest University of Visual Arts-Tucson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,972,"323,574","22,177","38,809",0,27,18,0,0,286,0,13.21%,96.23%,NULL
104346,2014,Central Arizona College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","211,197","343,367","55,986","67,799",12,NULL,91,2,NULL,NULL,NULL,NULL,17.74%
104364,2014,Brown Mackie College-Tucson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","87,225","430,730","56,691",0,25,NULL,310,0,NULL,NULL,10.00%,10.00%,NULL
104425,2014,Cochise County Community College District,86,7,194,16,17,2,45,4,256,"1,000","229,477","442,016","31,971","71,953",19,NULL,220,80,NULL,NULL,NULL,NULL,23.04%
104577,2014,Eastern Arizona College,93,11,92,11,23,3,31,4,146,"1,000","335,023","292,326","63,135","69,730",12,NULL,112,143,NULL,NULL,NULL,NULL,35.82%
104586,2014,Embry-Riddle Aeronautical University-Prescott,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,977,"318,142","267,883","108,959","133,729",28,12,0,0,596,0,34.62%,58.41%,NULL
104717,2014,Grand Canyon University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,614,"86,154","571,124","101,050","31,552",18,13,0,0,315,0,18.18%,27.88%,NULL
105145,2014,GateWay Community College,113,11,143,14,28,3,17,2,188,"1,000","300,286","297,873","54,128","26,879",11,NULL,111,156,NULL,NULL,NULL,NULL,17.48%
105163,2014,ITT Technical Institute-Tucson,3,4,20,22,2,3,0,0,22,"1,000","110,920","531,887","37,576",0,21,NULL,196,0,NULL,NULL,NULL,NULL,NULL
105172,2014,ITT Technical Institute-Tempe,4,5,27,30,2,3,0,0,29,"1,000","105,023","583,518","33,274",0,25,NULL,260,0,NULL,NULL,14.29%,14.29%,NULL
105206,2014,Mohave Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","233,646","395,804","58,028","36,554",12,NULL,98,18,NULL,NULL,NULL,NULL,11.54%
105297,2014,Dine College,71,35,77,38,52,26,59,29,188,"1,000","304,619","270,607","164,417","147,480",15,NULL,151,0,NULL,NULL,NULL,NULL,NULL
105330,2014,Northern Arizona University,1043,35,"1,342",1,255,9,307,11,563,814,"354,596","361,881","67,512","51,415",25,11,0,35,476,56,33.19%,51.57%,NULL
105349,2014,Northland Pioneer College,81,12,93,14,15,3,14,3,122,"1,000","341,847","366,977","49,192","37,341",9,NULL,53,100,NULL,NULL,NULL,NULL,5.08%
105428,2014,Phoenix College,136,8,198,11,29,2,36,2,263,"1,000","312,226","263,788","41,606","38,516",12,NULL,112,43,NULL,NULL,NULL,NULL,12.29%
105589,2014,Prescott College,56,50,40,36,22,20,6,6,68,603,"309,901","237,454","88,352","18,508",24,15,0,0,311,36,16.85%,34.83%,NULL
105659,2014,Refrigeration School Inc,20,20,6,6,9,9,7,7,22,"1,000","329,489","198,327","146,524","155,943",26,NULL,65,0,NULL,NULL,NULL,NULL,64.47%
105747,2014,Scottsdale Community College,165,11,155,11,16,2,34,3,205,"1,000","400,270","255,144","29,554","41,781",11,NULL,138,15,NULL,NULL,NULL,NULL,16.45%
105792,2014,South Mountain Community College,60,9,101,15,15,3,18,3,134,"1,000","285,865","343,723","49,460","41,818",12,NULL,157,13,NULL,NULL,NULL,NULL,16.52%
105899,2014,Arizona Christian University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","142,304","485,906","41,459","32,079",22,NULL,3,0,NULL,NULL,46.27%,61.19%,NULL
106041,2014,Universal Technical Institute of Arizona Inc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","272,938","280,408",0,"10,775",32,NULL,715,0,NULL,NULL,NULL,NULL,60.63%
106102,2014,Western International University,7,3,88,33,4,2,8,3,100,712,"30,582","581,255","20,997","57,959",12,9,53,0,613,0,0.00%,1.47%,NULL
106148,2014,Yavapai College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","256,497","412,617","91,405","75,337",12,NULL,92,88,NULL,NULL,NULL,NULL,18.95%
106245,2014,University of Arkansas at Little Rock,445,30,619,41,181,12,180,12,980,748,"360,176","351,919","89,826","49,274",20,9,44,1,288,29,8.14%,26.55%,NULL
106306,2014,Arkansas Baptist College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","137,462","241,557","113,022","100,080",20,NULL,126,0,NULL,NULL,4.48%,19.40%,NULL
106342,2014,Lyon College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","403,073","520,976","121,125","5,436",27,NULL,0,0,NULL,NULL,49.02%,49.02%,NULL
106397,2014,University of Arkansas,1126,41,"2,494",1,545,20,648,24,"1,195",812,"305,513","408,450","90,594","61,469",27,13,0,0,413,13,37.22%,62.28%,NULL
106412,2014,University of Arkansas at Pine Bluff,157,54,257,88,86,30,100,35,443,956,"280,903","372,947","117,465","88,627",26,12,0,0,404,0,9.77%,27.21%,NULL
106449,2014,Arkansas State University-Beebe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","353,704","326,051","60,282","50,022",15,NULL,209,127,NULL,NULL,NULL,NULL,39.24%
106458,2014,Arkansas State University-Main Campus,502,29,756,44,84,5,224,13,"1,064",668,"354,943","376,824","33,763","62,593",24,13,67,0,451,5,20.20%,39.30%,NULL
106467,2014,Arkansas Tech University,364,27,401,30,20,2,135,10,556,902,"421,337","364,894","16,478","66,153",21,12,61,8,473,0,24.38%,45.24%,NULL
106485,2014,University of Arkansas at Monticello,156,34,164,35,13,3,64,14,241,941,"400,515","370,963","25,846","82,372",20,12,225,119,468,0,15.98%,26.93%,NULL
106625,2014,Black River Technical College,73,24,63,21,9,3,24,8,96,"1,000","397,160","314,788","42,107","53,191",17,NULL,209,168,NULL,NULL,NULL,NULL,17.97%
106704,2014,University of Central Arkansas,537,41,475,36,113,9,244,19,832,820,"436,347","294,163","55,862","86,049",25,13,6,0,405,11,21.40%,44.67%,NULL
106713,2014,Central Baptist College,29,31,36,38,16,17,12,13,64,"1,000","294,585","341,864","104,714","56,858",22,NULL,25,0,NULL,NULL,32.61%,34.78%,NULL
106795,2014,Cossatot Community College of the University of Arkansas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","304,537","467,290","16,539","51,986",14,NULL,129,155,NULL,NULL,NULL,NULL,23.67%
106810,2014,Crowley's Ridge College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","451,814","314,168","76,577","153,124",23,NULL,96,0,NULL,NULL,5.88%,58.82%,NULL
106883,2014,East Arkansas Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","269,251","411,788","161,000","47,611",13,NULL,111,20,NULL,NULL,NULL,NULL,12.55%
106980,2014,National Park Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","359,804","338,268","20,123","37,862",16,NULL,194,21,NULL,NULL,NULL,NULL,17.73%
106999,2014,University of Arkansas Community College-Batesville,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","331,542","385,478","62,962","49,816",16,NULL,216,179,NULL,NULL,NULL,NULL,24.15%
107044,2014,Harding University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,706,"435,198","360,654","99,182","64,628",27,12,0,0,366,0,43.37%,62.55%,NULL
107071,2014,Henderson State University,171,41,192,46,18,5,84,20,294,845,"403,051","331,943","27,154","85,712",26,13,3,1,405,336,18.51%,36.19%,NULL
107080,2014,Hendrix College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,991,"359,153","394,376","41,743","124,089",32,32,0,0,"1,286",0,66.05%,72.56%,NULL
107141,2014,John Brown University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,766,"228,528","433,616","68,343","82,154",23,13,3,0,402,0,52.12%,60.59%,NULL
107318,2014,Mid-South Community College,41,17,88,36,3,2,7,3,98,"1,000","234,008","504,764","13,093","28,507",14,NULL,105,151,NULL,NULL,NULL,NULL,11.07%
107327,2014,Arkansas Northeastern College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","310,902","432,041","22,069","52,215",15,NULL,155,161,NULL,NULL,NULL,NULL,22.90%
107460,2014,North Arkansas College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","343,736","408,877","50,922","49,219",18,NULL,244,137,NULL,NULL,NULL,NULL,22.61%
107512,2014,Ouachita Baptist University,98,61,100,62,22,14,50,31,172,"1,000","478,151","385,115","30,023","95,530",28,NULL,0,0,NULL,NULL,50.74%,58.17%,NULL
107521,2014,College of the Ouachitas,39,20,55,29,8,5,5,3,68,"1,000","311,871","410,133","59,733","25,752",15,NULL,170,308,NULL,NULL,NULL,NULL,22.79%
107549,2014,Ozarka College,41,22,44,23,15,8,16,9,75,"1,000","309,013","338,399","110,514","66,628",17,NULL,212,184,NULL,NULL,NULL,NULL,23.60%
107558,2014,University of the Ozarks,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","309,392","432,829","79,473","67,856",32,NULL,0,0,NULL,NULL,36.92%,47.69%,NULL
107585,2014,University of Arkansas Community College-Morrilton,62,22,60,21,20,7,29,11,109,"1,000","373,872","359,670","91,097","83,980",17,NULL,275,82,NULL,NULL,NULL,NULL,27.07%
107600,2014,Philander Smith College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","291,701","390,557","42,635","85,480",26,NULL,0,0,NULL,NULL,23.57%,38.57%,NULL
107619,2014,Phillips Community College of the University of Arkansas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","276,167","382,518","99,707","77,466",14,NULL,110,218,NULL,NULL,NULL,NULL,26.94%
107637,2014,Southeast Arkansas College,51,23,67,30,2,1,14,7,83,"1,000","347,959","457,326","10,487","43,398",16,NULL,226,204,NULL,NULL,NULL,NULL,18.82%
107664,2014,Pulaski Technical College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","315,876","287,622","34,321","57,798",16,NULL,151,80,NULL,NULL,NULL,NULL,10.19%
107725,2014,University of Arkansas Community College-Hope,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","324,438","291,409","148,946","67,553",15,NULL,130,121,NULL,NULL,NULL,NULL,30.52%
107743,2014,Rich Mountain Community College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","260,721","250,213","257,109","43,397",14,NULL,177,107,NULL,NULL,NULL,NULL,23.74%
107877,2014,Williams Baptist College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","426,222","406,543","88,799","102,933",22,NULL,6,0,NULL,NULL,28.67%,40.56%,NULL
107974,2014,South Arkansas Community College,59,25,73,31,11,5,23,10,107,"1,000","341,421","395,180","48,623","67,566",16,NULL,139,229,NULL,NULL,NULL,NULL,13.16%
107983,2014,Southern Arkansas University Main Campus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,831,"430,513","252,497","40,690","46,946",25,11,91,0,440,0,18.15%,32.03%,NULL
107992,2014,Southern Arkansas University Tech,33,10,54,16,13,4,22,7,89,"1,000","175,571","301,326","42,326","64,947",12,NULL,107,260,NULL,NULL,NULL,NULL,40.68%
108092,2014,University of Arkansas-Fort Smith,236,29,194,24,83,11,30,4,307,"1,000","419,188","273,346","101,105","31,217",22,NULL,88,38,NULL,NULL,12.88%,29.29%,NULL
108232,2014,Academy of Art University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,670,"240,624","461,697","2,093","27,645",17,15,38,0,357,0,4.97%,32.31%,NULL
108250,2014,ITT Technical Institute-Rancho Cordova,9,11,29,35,2,3,0,0,31,"1,000","250,780","507,691","26,814",0,29,NULL,350,0,NULL,NULL,NULL,NULL,NULL
108667,2014,College of Alameda,74,7,44,5,8,1,6,1,58,"1,000","393,806","214,577","28,231","17,063",9,NULL,52,10,NULL,NULL,NULL,NULL,20.44%
108807,2014,Allan Hancock College,149,9,161,10,31,2,47,3,239,"1,000","316,594","236,639","37,009","49,874",13,NULL,138,18,NULL,NULL,NULL,NULL,26.40%
108852,2014,American Academy of Dramatic Arts-Los Angeles,8,27,17,58,1,4,5,17,23,"1,000","199,577","305,228","12,574","55,998",30,NULL,735,0,NULL,NULL,NULL,NULL,60.71%
109208,2014,American River College,386,9,219,6,51,2,30,1,300,"1,000","419,789","170,559","31,147","19,220",15,NULL,113,169,NULL,NULL,NULL,NULL,27.03%
109350,2014,Antelope Valley College,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1,000","371,987","242,451","39,960","57,433",15,NULL,143,19,NULL,NULL,NULL,NULL,23.81%
109651,2014,Art Center College of Design,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,904,"224,929","453,926","16,604","42,939",27,25,0,0,514,0,31.34%,67.16%,NULL
109785,2014,Azusa Pacific University,459,37,802,64,0,0,119,10,921,573,"344,406","399,274",0,"36,619",28,16,0,2,403,1,46.79%,67.16%,NULL
109819,2014,Bakersfield College,261,11,154,7,25,2,43,2,222,"1,000","451,629","199,110","25,992","34,947",14,NULL,83,65,NULL,NULL,NULL,NULL,23.05%
